rank,race_number,name,category,tt_pos_in_category,fastest_time,fastest_seconds
1,,Jay Kenward,Open,,05:05.137,305.137
2,,Daniel Turner,Open,,05:17.357,317.357
3,,Alexis Matton,Open,,05:23.403,323.403
4,,Henry Bisping,Groms,,05:52.083,352.083
5,,Joel Jones,Open,,05:54.267,354.267
6,,Indiana Mcfarlane,Groms,,06:02.510,362.51
7,,Jonas Pflüger,Open,,06:02.663,362.663
8,,Nico Stuart,Open,,06:08.030,368.03
9,,Sam O’Connell,Open,,06:10.443,370.443
10,,Jacob Jones,Open,,06:13.500,373.5
11,,Geky Del Curto,Open,,06:18.273,378.273
12,,Benoit Rousseaux,Open,,06:18.660,378.66
13,,Henry Livingstone Dunn,Groms,,06:19.807,379.807
14,,Zack McFarlane,Groms,,06:25.053,385.053
15,,Jeffrey Jaffa Gaming,Open,,06:27.307,387.307
16,,Florent Audit,Open,,06:27.327,387.327
17,,Noah Gamon,Groms,,06:31.967,391.967
18,,Thorkild Rasmussen,Open,,06:49.130,409.13
19,,Jessica Jones,Women,,06:49.270,409.27
20,,Clint Lashley,Open,,06:56.280,416.28
21,,Gerard Rincon,Open,,06:56.523,416.523
22,,Adrian Kruger,Open,,07:00.170,420.17
23,,Vid Gladovic,Open,,07:01.360,421.36
24,,Radim Klaška,Open,,07:06.260,426.26
25,,Thomas Skovgaard,Groms,,07:08.303,428.303
26,,Joselito Dendoncker,Open,,07:11.177,431.177
27,,James Grant,Open,,07:12.183,432.183
28,,Wickor Sowinski,Open,,07:18.223,438.223
29,,James Pitcher,Open,,07:18.907,438.907
30,,Fabian Scherrer,Wildcard,,07:23.000,443.0
31,,Radom Klaška,Wildcard,,07:23.330,443.33
32,,Eduardo Stralis Pavese,Wildcard,,07:23.790,443.79
33,,Barbara Tokarska,Women,,07:30.747,450.747
34,,Eduardo Queralto,Open,,07:34.820,454.82
35,,Leyla Zi,Women,,07:37.330,457.33
36,,Max Mcfarlane,Groms,,07:37.690,457.69
37,,Tobi Sünder,Open,,07:38.883,458.883
38,,Fábio Costa,Open,,07:45.987,465.987
39,,Chantelle Warner-wells,Women,,07:47.630,467.63
40,,Lars Lottrup,Legends,,07:48.700,468.7
41,,Tomáš Mach,Open,,07:50.370,470.37
42,,Kate Paxton,Women,,07:51.250,471.25
43,,Jonas Bukrinski Andersen,Open,,07:51.917,471.917
44,,Qurine Posno,Women,,07:54.043,474.043
45,,Si Oppenheimer,Legends,,08:11.040,491.04
46,,Mollie Stuart,Women,,08:34.553,514.553
47,,Lars Lot trip,Open,,08:39.437,519.437
48,,Nick Oppy,Open,,08:50.373,530.373
49,,Chloe Jager,Women,,08:51.127,531.127
50,,Coby Webb,Groms,,13:28.890,808.89
