rank,race_number,name,category,tt_pos_in_category,fastest_time,fastest_seconds
1,,Alexis Matton,Open,,03:20.780,200.78
2,,Daniel Turner,Open,,03:21.813,201.813
3,,Joel Jones,Open,,03:37.820,217.82
4,,Sebastian Cusick,Open,,03:42.527,222.527
5,,Sam O’Connell,Open,,04:01.977,241.977
6,,Duncan Beattie,Open,,04:03.407,243.407
7,,Nico Stuart,Open,,04:05.043,245.043
8,,Jacob Jones,Open,,04:06.590,246.59
9,,Louis Lovelace,Open,,04:08.827,248.827
10,,Jaffa Gamon,Open,,04:13.103,253.103
11,,James Grant,Open,,04:13.493,253.493
12,,Harley Moss,Open,,04:17.173,257.173
13,,Jessica Jones,Women,,04:19.790,259.79
14,,Darren Stevenson,Open,,04:23.773,263.773
15,,James Pitcher,Open,,04:27.070,267.07
16,,Clint Lashley,Open,,04:27.573,267.573
17,,Kate Paxton,Women,,04:28.860,268.86
18,,Max Lee,Open,,04:30.370,270.37
19,,Ed Queralto,Open,,04:31.913,271.913
20,,Nick Oppenheimer,Open,,04:33.667,273.667
21,,Andy Thompson,Open,,04:34.727,274.727
22,,Quirine Posno,Women,,04:37.567,277.567
23,,Dustin Refashion,Open,,04:37.967,277.967
24,,Wayne Stewart,Open,,04:39.627,279.627
25,,Chantelle Warner-wells,Women,,04:40.753,280.753
26,,Si Oppenheimer,Open,,04:43.867,283.867
27,,Daniel Matejicek,Open,,04:50.160,290.16
28,,Travis Wilson,Open,,05:03.793,303.793
29,,Luke Massey,Open,,05:04.783,304.783
30,,Martin Dunnage,Open,,05:08.823,308.823
31,,Mark Coningsby,Open,,05:11.213,311.213
32,,Jamel Grant,Open,,05:17.220,317.22
33,,Andrew Norris,Open,,05:19.073,319.073
34,,David Farries,Open,,05:20.060,320.06
35,,Mollie Stuart,Women,,05:35.247,335.247
36,,Neil Collins,Open,,05:52.390,352.39
37,,Jason Bright,Open,,05:59.383,359.383
38,,James Allen,Open,,06:00.950,360.95
39,,Jack Huntley,Open,,07:05.250,425.25
