rank,race_number,name,category,tt_pos_in_category,fastest_time,fastest_seconds
1,52,Jay Kenward,Open,1,02:06.900,126.9
2,108,Indiana McFarlane,Groms,1,02:13.960,133.96
3,18,Henry Bisping,Open,2,02:14.280,134.28
4,75,Daniel Turner,Open,3,02:14.377,134.377
5,123,Alexis Matton,Open,4,02:14.693,134.693
6,40,Jeffrey Gamon,Open,5,02:21.097,141.097
7,137,Henry Dunn,Open,6,02:22.730,142.73
8,50,Joel Jones,Open,7,02:24.310,144.31
9,64,Samuel OConnell,Open,8,02:25.213,145.213
10,135,Matthieu Grenette,Open,9,02:26.727,146.727
11,67,Quirine Posno,Open,10,02:27.053,147.053
12,68,Thorkild Rasmussen,Open,11,02:27.533,147.533
13,81,Paul Webb,Open,12,02:30.630,150.63
14,69,Gerard Rincón,Open,13,02:32.107,152.107
15,141,Camil Després,Open,14,02:33.123,153.123
16,61,Zack McFarlane,Open,15,02:33.683,153.683
17,99,Sep De Booser,Groms,2,02:34.400,154.4
18,49,Jacob Jones,Open,16,02:34.657,154.657
19,129,Radim Klaška,Open,17,02:36.927,156.927
20,51,Charles Kelly,Open,18,02:39.693,159.693
21,70,Fabio Santos Costa,Open,19,02:40.417,160.417
22,63,Harley Moss,Open,20,02:41.490,161.49
23,72,Nico Stuart,Open,21,02:42.853,162.853
24,102,Noah Gamon,Groms,3,02:43.457,163.457
25,125,Darren Stevenson,Open,22,02:43.967,163.967
26,32,Sergio Espinosa,Open,23,02:46.483,166.483
27,5,James Grant,Open,24,02:46.940,166.94
28,130,Max Lee,Open,25,02:48.333,168.333
29,121,Matthieu Cauchois,Open,26,02:48.373,168.373
30,58,Louis Lovelace,Open,27,02:49.883,169.883
31,66,James Pitcher,Open,28,02:51.193,171.193
32,110,Zak Moss,Groms,4,02:51.197,171.197
33,13,Jonas Andersen,Open,29,02:51.777,171.777
34,144,Joshua Billinghurst,Groms,5,02:52.563,172.563
35,38,Adam Freeman,Open,30,02:53.843,173.843
36,97,Matthew Coningsby,Groms,6,02:53.847,173.847
37,65,Thomas Pieters,Open,31,02:54.777,174.777
38,9,Kate Paxton,Open,32,02:54.867,174.867
39,4,Martin Dinnage,Open,33,02:55.037,175.037
40,86,Chantelle Warner-Wells,Women,1,02:55.477,175.477
41,6,Jorge Jimenez,Open,34,02:56.870,176.87
42,59,Tomáš Mach,Open,35,02:56.897,176.897
43,73,Andy Thompson,Open,36,02:57.707,177.707
44,82,Travis Wilson,Open,37,02:57.810,177.81
45,122,Leo Chatenet,Open,38,02:58.063,178.063
46,14,Thomas Astbury,Open,39,02:58.927,178.927
47,57,Patrick Lopez,Open,40,03:00.133,180.133
48,27,Maarten De Booser,Open,41,03:00.577,180.577
49,77,Lars Vloemans,Open,42,03:01.177,181.177
50,71,Wayne Stewart,Open,43,03:01.527,181.527
51,96,Daniel Coningsby,Groms,7,03:01.607,181.607
52,107,Josiah Jones,Groms,8,03:03.177,183.177
