,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2026 Points Total - Female,,,,,,,,,,
,,,Open results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Groms results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,⬅️ go back to web site,,EOL Finals*,,,Wacky Wheels,,Shred The Shires,,The Float Connection,,Mayrau Shred Fest,,Float The Highlands,,Danish Onewheel Games,
,,,Rider Name,Team / Crew,,,TOTAL POINTS,,,,,,,,,,,,
,,,,Fill the team form here,Qualification,Position,,Position,Points,Position,Points,Position,Points,Position,Points,Position,Points,Position,Points
,,1,Anna Carson,,,,1050,,0,3,350,2,400,,0,4,300,,0
,,2,Chantelle Warner-Wells ,,Qualified 1st STS,,850,,0,1,500,,0,,0,3,350,,0
,,3,Mollie Stuart ,Onewheel Scotland,,,800,,0,2,400,,0,,0,2,400,,0
,,4,Sarah Anderson,,Qualified 1st FTH,,500,,0,,0,,0,,0,1,500,,0
,,5,Gwen Kaddisch,,,,350,,0,,0,3,350,,0,,0,,0
,,6,Joy Jarvis,,,,300,,0,4,300,,0,,0,,0,,0
,,7,Florane Kaddisch,,Not Eligible**,,0,,0,,0,1,,,0,,0,,0
,,8,,,,,0,,0,,0,,0,,0,,0,,0
,,9,,,,,0,,0,,0,,0,,0,,0,,0
,,10,,,,,0,,0,,0,,0,,0,,0,,0
,,11,,,,,0,,0,,0,,0,,0,,0,,0
,,12,,,,,0,,0,,0,,0,,0,,0,,0
,,13,,,,,0,,0,,0,,0,,0,,0,,0
,,14,,,,,0,,0,,0,,0,,0,,0,,0
,,15,,,,,0,,0,,0,,0,,0,,0,,0
,,16,,,,,0,,0,,0,,0,,0,,0,,0
,,17,,,,,0,,0,,0,,0,,0,,0,,0
,,18,,,,,0,,0,,0,,0,,0,,0,,0
,,19,,,,,0,,0,,0,,0,,0,,0,,0
,,20,,,,,0,,0,,0,,0,,0,,0,,0
,,21,,,,,0,,0,,0,,0,,0,,0,,0
,,22,,,,,0,,0,,0,,0,,0,,0,,0
,,23,,,,,0,,0,,0,,0,,0,,0,,0
,,24,,,,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,
,,,"*To qualify for the EOL Finals: 1st Place in EOL Race - 6 spots in total / 1st Place in EOL Underground (Ride Hermes) - 1 spot in total / 1 Guaranteed Wildcard (qualification on the spot) - 1 spots in total / Remaining 7 spots will go to the highest ranked riders who are not qualified yet. If one or more rider(s) wins multiple spots throught Race and/or Underground wins, those spots will go to the next rider in the ranking until the 15th place maximum. If one or more of the 15 riders qualified can't go to the EOL Finals their place will go to a on the spot Wildcard!",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,**Racer competed in the incorrect category.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Special thanks to Patrick Lopez for helping create this ranking,,,,,,,,,,,,,,,,
