,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2026 Points Total - Groms,,,,,,,,,,
,,,Open results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Female results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,⬅️ go back to web site,,EOL Finals*,,,Wacky Wheels,,Shred The Shires,,The Float Connection,,Mayrau Shred Fest,,Float The Highlands,,Danish Onewheel Games,
,,,Rider Name,Team / Crew,,,TOTAL POINTS,,,,,,,,,,,,
,,,,Fill the team form here,Qualification,Position,,Position,Points,Position,Points,Position,Points,Position,Points,Position,Points,Position,Points
,,1,Indiana McFarlane,,Qualified 1st STS,,1500,,0,1,500,1,500,,0,1,500,,0
,,2,Noah Gamon,,,,1150,,0,3,350,2,400,,0,2,400,,0
,,3,Zak Moss,,,,790,,0,9,180,5,260,,0,3,350,,0
,,4,Sep De Booser,Skrrrt,,,750,,0,2,400,3,350,,0,,0,,0
,,5,Joshua Billinghurst,,,,560,,0,4,300,,0,,0,5,260,,0
,,6,Miles Musgrave,,,,560,,0,5,260,,0,,0,4,300,,0
,,7,Willow Wilson,,,,488,,0,17,108,9,180,,0,8,200,,0
,,8,Max McFarlane,,,,440,,0,,0,7,220,,0,7,220,,0
,,9,Isaac Walton,,,,410,,0,10,170,,0,,0,6,240,,0
,,10,Wiktor Sowinski,Sopot Rockets,,,300,,0,,0,4,300,,0,,0,,0
,,11,Lola Dendoncker,,,,240,,0,,0,6,240,,0,,0,,0
,,12,Josiah Jones,,,,240,,0,6,240,,0,,0,,0,,0
,,13,Daniel Coningsby,,,,220,,0,7,220,,0,,0,,0,,0
,,14,Clement Legois,,,,200,,,,,8,200,,0,,0,,0
,,15,Matthew Coningsby,,,,200,,0,8,200,,0,,0,,0,,0
,,16,Harry Hughes,,,,160,,0,11,160,,0,,0,,0,,0
,,17,Ruby Queralto,,,,150,,0,12,150,,0,,0,,0,,0
,,18,Lilly-May Wallis,,,,140,,0,13,140,,0,,0,,0,,0
,,19,Ted Slater-Penny,,,,132,,0,14,132,,0,,0,,0,,0
,,20,Jay Bucci,Shred The Shires,,,124,,0,15,124,,0,,0,,0,,0
,,21,Coby Webb,,,,116,,0,16,116,,0,,0,,0,,0
,,22,Nikko Gutmanis,,,,104,,0,18,104,,0,,0,,0,,0
,,23,Naomi Gutmane,,,,100,,0,19,100,,0,,0,,0,,0
,,24,Stanley Downham,,,,96,,0,20,96,,,,,,,,
,,25,,,,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,
,,,"*To qualify for the EOL Finals: 1st Place in EOL Race - 6 spots in total / Remaining 2 spots will go to the highest ranked riders who are not qualified yet. If one or more rider(s) wins multiple spots throught Race and/or Underground wins, those spots will go to the next rider in the ranking. If one or more riders qualified can't go to the EOL Finals their place will go to a on the spot Wildcard! If enough riders sign up for the finals a 16 rider bracket can be made instead of a 8 rider only!",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Special thanks to Patrick Lopez for helping create this ranking,,,,,,,,,,,,,,,,
