,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2026 Points Total - Open,,,,,,,,,,
,,,Female results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Groms results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,⬅️ go back to web site,,EOL Finals*,,,Wacky Wheels,,Shred The Shires,,The Float Connection,,Mayrau Shred Fest,,Float The Highlands,,Danish Onewheel Games,
,,,Rider Name,Team / Crew,,,TOTAL POINTS,,,,,,,,,,,,
,,,,Fill the team form here,Qualification,Position,,Position,Points,Position,Points,Position,Points,Position,Points,Position,Points,Position,Points
,,1,Jay Kenward,,Qualified 1st STS,,1300,,1,1,500,2,400,,0,2,400,,0
,,2,Alexis Matton,Skrrrt / TFL,Qualified 1st WW,,1260,1,500,15,124,1,500,5,260,,0,,0
,,3,Joel Jones,Yeeew,Qualified 1st FTH,,1200,,0,2,400,4,300,,0,1,500,,0
,,4,Henry Bisping,Flyboi / Dorking Dickheads,,,1050,,0,3,350,3,350,,0,3,350,,0
,,5,Jaffa Gamon,Skrrrt,Qualified 1st MSF,,1020,13,140,5,260,18,104,1,500,5,260,,0
,,6,Daniel Turner,Flyboi / OWA,,,950,,0,4,300,,0,3,350,4,300,,0
,,7,Thomas Ventoulou,Stoke Seekers,,,900,,0,,0,5,260,2,400,6,240,,0
,,8,András Váradi-Szabó,,,,700,2,400,,0,,0,4,300,,0,,0
,,9,Radim Klaška,Czechoslovak OW Association,,,600,7,220,18,104,,0,7,220,11,160,,0
,,10,Jacob Jones,,,,572,,0,14,132,7,220,,0,7,220,,0
,,11,Zack McFarlane,Dorking Dickheads,,,556,,0,7,220,6,240,,0,20,96,,0
,,12,Thomas Harasse,,,,550,8,200,,0,10,170,9,180,,0,,0
,,13,Quirine Posno,,,,540,,0,11,160,9,180,8,200,,0,,0
,,14,Fábio Costa,OWA / TFL / Flyboi,,,504,,0,16,116,13,140,6,240,15,124,,0
,,15,Gerard Rincón,,,,448,10,170,10,170,17,108,,0,,0,,0
,,16,Nico Stuart,Flyboi / Onewheel Scotland,,,428,,0,22,88,,0,13,140,8,200,,0
,,17,James Grant,Shred The Shires,,,420,,0,24,80,,0,10,170,10,170,,0
,,18,Vlastimil Batovec,,,,350,3,350,,0,,0,,0,,0,,0
,,19,Harley Moss,,,,340,,0,25,76,14,132,,0,14,132,,0
,,20,Kate Paxton,She Swerves / STS,,,338,,0,32,48,,0,12,150,13,140,,0
,,21,Tomas Fejko,,,,310,12,150,,0,,0,11,160,,0,,0
,,22,Florent Kaddisch,,,,300,4,300,,0,,0,,0,,0,,0
,,23,Adam Freeman,,,,292,,0,20,96,24,80,,0,16,116,,0
,,24,Camil Després,Ride on Experience,,,292,,0,21,92,8,200,,0,,0,,0
,,25,Samuel O'Connell,Yeeew,,,292,,0,6,240,31,52,,0,,0,,0
,,26,Henry Dunn,Dorking Dickheads,,,288,,0,17,108,,0,,0,9,180,,0
,,27,Vid Gladovic,,,,260,5,260,,0,,0,,0,,0,,0
,,28,Gergő Kiss,,,,240,6,240,,0,,0,,0,,0,,0
